"filename" "tajima_d" "missing_data" "missing_type" "vcf_source" "max_pi_vcftools"
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7600.vcf.Tajima.D" -1.61006 0.24 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7700.vcf.Tajima.D" -1.60277 0.23 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7800.vcf.Tajima.D" -1.58224 0.22 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7900.vcf.Tajima.D" -1.59697 0.21 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_7900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_800.vcf.Tajima.D" -1.57476 0.92 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8000.vcf.Tajima.D" -1.60888 0.2 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8100.vcf.Tajima.D" -1.63142 0.19 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8200.vcf.Tajima.D" -1.5971 0.18 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8300.vcf.Tajima.D" -1.61542 0.17 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8400.vcf.Tajima.D" -1.59349 0.16 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8500.vcf.Tajima.D" -1.60009 0.15 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8600.vcf.Tajima.D" -1.60634 0.14 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8700.vcf.Tajima.D" -1.5908 0.13 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8800.vcf.Tajima.D" -1.61506 0.12 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8900.vcf.Tajima.D" -1.57941 0.11 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_8900.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_900.vcf.Tajima.D" -1.45088 0.91 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_900.vcf" NA
