sample_id,ena_analysis
AJ0099-C,ERZ1697083
AJ0100-C,ERZ1697084
AJ0101-Cx,ERZ1697085
AJ0102-C,ERZ1697086
AJ0103-C,ERZ1697087
AJ0105-C,ERZ1697088
AJ0107-C,ERZ1697089
AJ0109-C,ERZ1697090
AJ0113-C,ERZ1697091
AJ0115-C,ERZ1697092
AJ0116-C,ERZ1697093
AJ0117-C,ERZ1697094
AJ0119-C,ERZ1697095
AJ0120-C,ERZ1697096
AJ0121-C,ERZ1697097
AJ0122-C,ERZ1697098
AJ0123-C,ERZ1697099
AJ0124-C,ERZ1697100
AJ0125-C,ERZ1697101
AJ0126-C,ERZ1697102
AJ0127-C,ERZ1697103
AJ0128-C,ERZ1697104
AJ0129-C,ERZ1697105
AJ0130-C,ERZ1697106
AJ0131-C,ERZ1697107
AJ0132-C,ERZ1697108
AJ0133-C,ERZ1697109
AJ0134-C,ERZ1697110
AJ0135-C,ERZ1697111
AJ0136-C,ERZ1697112
AJ0137-C,ERZ1697113
AJ0138-C,ERZ1697114
AJ0139-C,ERZ1697115
AJ0140-C,ERZ1697116
AJ0141-C,ERZ1697117
AJ0142-C,ERZ1697118
AJ0143-C,ERZ1697119
AJ0144-C,ERZ1697120
AJ0145-C,ERZ1697121
AJ0146-C,ERZ1697122
AJ0147-C,ERZ1697123
AJ0148-C,ERZ1697124
AJ0149-C,ERZ1697125
AJ0150-C,ERZ1697126
AJ0151-C,ERZ1697127
AJ0152-C,ERZ1697128
AJ0153-C,ERZ1697129
AJ0154-C,ERZ1697130
AJ0155-C,ERZ1697131
AJ0156-C,ERZ1697132
AJ0157-C,ERZ1697133
AJ0158-C,ERZ1697134
AJ0159-C,ERZ1697135
AJ0161-C,ERZ1697136
AK0041-C,ERZ1697137
AK0042-C,ERZ1697138
AK0043-C,ERZ1697139
AK0044-C,ERZ1697140
AK0045-Cx,ERZ1697141
AK0046-C,ERZ1697142
AK0047-C,ERZ1697143
AK0049-C,ERZ1697144
AK0050-C,ERZ1697145
AK0051-C,ERZ1697146
AK0052-C,ERZ1697147
AK0054-C,ERZ1697148
AK0055-C,ERZ1697149
AK0056-C,ERZ1697150
AK0057-Cx,ERZ1697151
AK0060-C,ERZ1697152
AK0062-C,ERZ1697153
AK0063-C,ERZ1697154
AK0065-C,ERZ1697155
AK0066-Cx,ERZ1697156
AK0067-C,ERZ1697157
AK0068-C,ERZ1697158
AK0069-C,ERZ1697159
AK0070-C,ERZ1697160
AK0071-C,ERZ1697161
AK0072-C,ERZ1697162
AK0073-C,ERZ1697163
AK0075-Cx,ERZ1697164
AK0076-C,ERZ1697165
AK0077-C,ERZ1697166
AK0078-C,ERZ1697167
AK0079-C,ERZ1697168
AK0081-C,ERZ1697169
AK0082-C,ERZ1697170
AK0083-C,ERZ1697171
AK0085-C,ERZ1697172
AK0086-C,ERZ1697173
AK0087-C,ERZ1697174
AK0088-C,ERZ1697175
AK0089-C,ERZ1697176
AK0090-Cx,ERZ1697177
AK0091-C,ERZ1697178
AK0092-Cx,ERZ1697179
AK0093-C,ERZ1697180
AK0094-C,ERZ1697181
AK0095-C,ERZ1697182
AK0096-C,ERZ1697183
AK0098-C,ERZ1697184
AK0099-C,ERZ1697185
AK0100-Cx,ERZ1697186
AK0101-C,ERZ1697187
AK0102-C,ERZ1697188
AK0103-Cx,ERZ1697189
AK0104-C,ERZ1697190
AK0105-C,ERZ1697191
AK0106-C,ERZ1697192
AK0107-C,ERZ1697193
AK0108-C,ERZ1697194
AK0109-Cx,ERZ1697195
AK0110-C,ERZ1697196
AK0116-C,ERZ1697197
AK0117-C,ERZ1697198
AK0119-C,ERZ1697199
AK0127-C,ERZ1697200
AK0177-C,ERZ1697201
AK0203-C,ERZ1697202
AK0207-C,ERZ1697203
AK0211-C,ERZ1697204
AK0212-C,ERZ1697205
AK0213-C,ERZ1697206
AK0214-C,ERZ1697207
AK0215-C,ERZ1697208
AK0226-C,ERZ1697209
AK0235-C,ERZ1697210
AK0236-C,ERZ1697211
AK0237-C,ERZ1697212
AK0238-C,ERZ1697213
AK0239-C,ERZ1697214
AK0274-C,ERZ1697215
AK0278-C,ERZ1697216
AK0279-C,ERZ1697217
AK0280-C,ERZ1697218
AK0281-C,ERZ1697219
AK0284-C,ERZ1697220
AK0298-C,ERZ1697221
AK0299-C,ERZ1697222
AZ0284-C,ERZ1697223
AZ0287-C,ERZ1697224
AZ0289-C,ERZ1697225
AZ0290-C,ERZ1697226
AZ0291-C,ERZ1697227
AZ0292-C,ERZ1697228
AZ0293-C,ERZ1697229
AZ0294-C,ERZ1697230
AZ0295-C,ERZ1697231
AZ0296-C,ERZ1697232
AZ0297-C,ERZ1697233
AZ0298-C,ERZ1697234
AZ0300-C,ERZ1697235
AZ0301-C,ERZ1697236
AZ0302-C,ERZ1697237
AZ0304-C,ERZ1697238
AZ0305-C,ERZ1697239
AZ0306-C,ERZ1697240
AZ0307-C,ERZ1697241
AZ0308-C,ERZ1697242
AZ0309-C,ERZ1697243
AZ0310-C,ERZ1697244
AZ0311-C,ERZ1697245
AZ0312-C,ERZ1697246
AZ0313-C,ERZ1697247
AZ0314-C,ERZ1697248
AZ0316-C,ERZ1697249
AZ0317-C,ERZ1697250
AZ0318-C,ERZ1697251
AZ0319-C,ERZ1697252
AZ0320-C,ERZ1697253
AZ0321-C,ERZ1697254
AZ0322-C,ERZ1697255
AZ0323-C,ERZ1697256
AZ0325-C,ERZ1697257
AZ0326-C,ERZ1697258
AZ0328-C,ERZ1697259
AZ0329-C,ERZ1697260
AZ0330-C,ERZ1697261
AZ0331-C,ERZ1697262
AZ0332-C,ERZ1697263
AZ0333-C,ERZ1697264
AZ0334-C,ERZ1697265
AZ0336-C,ERZ1697266
AZ0337-C,ERZ1697267
AZ0338-C,ERZ1697268
AZ0339-C,ERZ1697269
AZ0340-C,ERZ1697270
AZ0341-C,ERZ1697271
AZ0342-C,ERZ1697272
AZ0343-C,ERZ1697273
AZ0344-C,ERZ1697274
AZ0350-C,ERZ1697275
AZ0416-CW,ERZ1697276
AZ0425-CW,ERZ1697277
AZ0433-CW,ERZ1697278
AZ0434-CW,ERZ1697279
AZ0444-CW,ERZ1697280
AZ0459-CW,ERZ1697281
AZ0484-CW,ERZ1697282
AZ0253-C,ERZ1697283
AZ0254-C,ERZ1697284
AZ0255-C,ERZ1697285
AZ0256-C,ERZ1697286
AZ0258-C,ERZ1697287
AZ0259-C,ERZ1697288
AZ0260-C,ERZ1697289
AZ0261-C,ERZ1697290
AZ0263-C,ERZ1697291
AZ0267-C,ERZ1697292
AZ0268-C,ERZ1697293
AZ0269-C,ERZ1697294
AZ0270-C,ERZ1697295
AZ0271-C,ERZ1697296
AZ0272-C,ERZ1697297
AZ0273-C,ERZ1697298
AZ0274-C,ERZ1697299
AZ0275-C,ERZ1697300
AZ0276-C,ERZ1697301
AZ0277-C,ERZ1697302
AZ0278-C,ERZ1697303
AZ0279-C,ERZ1697304
AZ0280-C,ERZ1697305
AZ0281-C,ERZ1697306
AZ0282-C,ERZ1697307
AZ0283-C,ERZ1697308
VBS02049-4431STDY6672917,ERZ1697309
VBS02050-4431STDY6672918,ERZ1697310
VBS02051-4431STDY6672919,ERZ1697311
VBS02052-4431STDY6672920,ERZ1697312
VBS02054-4431STDY6672922,ERZ1697313
VBS02055-4431STDY6672923,ERZ1697314
VBS02056-4431STDY6672924,ERZ1697315
VBS02057-4431STDY6672925,ERZ1697316
VBS02058-4431STDY6672926,ERZ1697317
VBS02059-4431STDY6672927,ERZ1697318
VBS02060-4431STDY6672928,ERZ1697319
VBS02061-4431STDY6672929,ERZ1697320
VBS02062-4431STDY6672930,ERZ1697321
VBS02063-4431STDY6672931,ERZ1697322
VBS02064-4431STDY6672932,ERZ1697323
VBS02065-4431STDY6672933,ERZ1697324
VBS02066-4431STDY6672934,ERZ1697325
VBS02067-4431STDY6672935,ERZ1697326
VBS02068-4431STDY6672936,ERZ1697327
VBS02069-4431STDY6672937,ERZ1697328
VBS02070-4431STDY6672938,ERZ1697329
VBS02071-4431STDY6672939,ERZ1697330
VBS02072-4431STDY6672940,ERZ1697331
VBS02073-4431STDY6672941,ERZ1697332
VBS02077-4431STDY6772805,ERZ1697333
VBS02083-4431STDY6772806,ERZ1697334
VBS02088-4431STDY6772808,ERZ1697335
VBS02090-4431STDY6772809,ERZ1697336
VBS02093-4431STDY6772811,ERZ1697337
VBS02094-4431STDY6772812,ERZ1697338
VBS02095-4431STDY6772813,ERZ1697339
VBS02097-4431STDY6772815,ERZ1697340
VBS02101-4431STDY6772818,ERZ1697341
VBS02103-4431STDY6772819,ERZ1697342
VBS02104-4431STDY6772820,ERZ1697343
VBS02106-4431STDY6772821,ERZ1697344
VBS02107-4431STDY6772822,ERZ1697345
VBS02109-4431STDY6772823,ERZ1697346
VBS02110-4431STDY6772824,ERZ1697347
VBS02112-4431STDY6772826,ERZ1697348
VBS02119-4431STDY6772831,ERZ1697349
VBS02121-4431STDY6772832,ERZ1697350
VBS02127-4431STDY6772833,ERZ1697351
VBS02129-4431STDY6772835,ERZ1697352
VBS02130-4431STDY6772836,ERZ1697353
AZ0152-C,ERZ1697354
AZ0153-C,ERZ1697355
AZ0155-C,ERZ1697356
AZ0156-C,ERZ1697357
AZ0157-C,ERZ1697358
AZ0158-C,ERZ1697359
AZ0159-C,ERZ1697360
AZ0160-C,ERZ1697361
AZ0161-C,ERZ1697362
AZ0164-C,ERZ1697363
AZ0165-C,ERZ1697364
AZ0166-C,ERZ1697365
AZ0167-C,ERZ1697366
AZ0168-C,ERZ1697367
AZ0170-C,ERZ1697368
AZ0172-C,ERZ1697369
AZ0174-C,ERZ1697370
AZ0175-C,ERZ1697371
AZ0176-C,ERZ1697372
AZ0179-C,ERZ1697373
AZ0180-C,ERZ1697374
AZ0181-C,ERZ1697375
AZ0182-C,ERZ1697376
AZ0183-C,ERZ1697377
AZ0184-C,ERZ1697378
AZ0185-C,ERZ1697379
AZ0186-C,ERZ1697380
AZ0187-C,ERZ1697381
AZ0188-C,ERZ1697382
AZ0191-C,ERZ1697383
AZ0192-C,ERZ1697384
AZ0199-C,ERZ1697385
AZ0200-C,ERZ1697386
AZ0201-C,ERZ1697387
AZ0202-C,ERZ1697388
AZ0223-C,ERZ1697389
AZ0226-C,ERZ1697390
AZ0242-C,ERZ1697391
AZ0246-C,ERZ1697392
AZ0247-C,ERZ1697393
AZ0251-C,ERZ1697394
BQ0046-C,ERZ1697395
BQ0047-C,ERZ1697396
BQ0049-C,ERZ1697397
BQ0050-C,ERZ1697398
BQ0051-C,ERZ1697399
BQ0052-C,ERZ1697400
BQ0053-C,ERZ1697401
BQ0054-C,ERZ1697402
BQ0055-C,ERZ1697403
BQ0056-C,ERZ1697404
BQ0057-C,ERZ1697405
BQ0058-C,ERZ1697406
BQ0059-C,ERZ1697407
BQ0060-C,ERZ1697408
BQ0062-C,ERZ1697409
BQ0064-C,ERZ1697410
BQ0065-C,ERZ1697411
BQ0066-C,ERZ1697412
BQ0067-C,ERZ1697413
BQ0068-C,ERZ1697414
BQ0069-C,ERZ1697415
BQ0070-C,ERZ1697416
BQ0071-C,ERZ1697417
BQ0072-C,ERZ1697418
BQ0073-C,ERZ1697419
BQ0074-C,ERZ1697420
BQ0075-C,ERZ1697421
BQ0076-C,ERZ1697422
BQ0077-C,ERZ1697423
BQ0078-C,ERZ1697424
BQ0079-C,ERZ1697425
BQ0080-C,ERZ1697426
BQ0081-C,ERZ1697427
BQ0082-C,ERZ1697428
BQ0083-C,ERZ1697429
BQ0084-C,ERZ1697430
BQ0085-C,ERZ1697431
BQ0086-C,ERZ1697432
BQ0087-C,ERZ1697433
BQ0088-C,ERZ1697434
BQ0089-C,ERZ1697435
BQ0090-C,ERZ1697436
BQ0091-C,ERZ1697437
BQ0092-C,ERZ1697438
BQ0093-C,ERZ1697439
BQ0094-C,ERZ1697440
BQ0095-C,ERZ1697441
BQ0096-C,ERZ1697442
BQ0097-C,ERZ1697443
BQ0098-C,ERZ1697444
BQ0099-C,ERZ1697445
BQ0100-C,ERZ1697446
BQ0102-C,ERZ1697447
BQ0103-C,ERZ1697448
BQ0106-C,ERZ1697449
BQ0107-C,ERZ1697450
BQ0108-C,ERZ1697451
BQ0109-C,ERZ1697452
BQ0110-C,ERZ1697453
BQ0111-C,ERZ1697454
BQ0114-C,ERZ1697455
BQ0115-C,ERZ1697456
BQ0116-C,ERZ1697457
BQ0117-C,ERZ1697458
BQ0118-C,ERZ1697459
BQ0119-C,ERZ1697460
BQ0120-C,ERZ1697461
BQ0121-C,ERZ1697462
BQ0122-C,ERZ1697463
BQ0123-C,ERZ1697464
BQ0125-C,ERZ1697465
BQ0126-C,ERZ1697466
BQ0129-C,ERZ1697467
BQ0130-C,ERZ1697468
BL0046-C,ERZ1697469
BL0047-C,ERZ1697470
BL0048-C,ERZ1697471
BL0049-C,ERZ1697472
BL0050-C,ERZ1697473
BL0052-C,ERZ1697474
BL0054-C,ERZ1697475
BL0055-C,ERZ1697476
BL0058-C,ERZ1697477
BL0059-C,ERZ1697478
BL0060-C,ERZ1697479
BL0061-C,ERZ1697480
BL0062-C,ERZ1697481
BL0063-C,ERZ1697482
BL0065-C,ERZ1697483
BL0067-C,ERZ1697484
BL0068-C,ERZ1697485
BL0069-C,ERZ1697486
BL0070-C,ERZ1697487
BL0071-C,ERZ1697488
BL0072-C,ERZ1697489
BL0073-C,ERZ1697490
BL0074-C,ERZ1697491
BL0075-C,ERZ1697492
BL0076-C,ERZ1697493
BL0078-C,ERZ1697494
BL0079-C,ERZ1697495
BL0081-C,ERZ1697496
BL0082-C,ERZ1697497
BL0083-C,ERZ1697498
BL0084-C,ERZ1697499
BL0085-C,ERZ1697500
BL0086-C,ERZ1697501
BL0087-C,ERZ1697502
BL0088-C,ERZ1697503
BL0089-C,ERZ1697504
BL0090-C,ERZ1697505
BL0091-C,ERZ1697506
BL0092-C,ERZ1697507
BL0093-C,ERZ1697508
BL0094-C,ERZ1697509
BL0095-C,ERZ1697510
BL0096-C,ERZ1697511
BL0097-C,ERZ1697512
BL0099-C,ERZ1697513
BL0100-C,ERZ1697514
BL0101-C,ERZ1697515
BL0102-C,ERZ1697516
BL0103-C,ERZ1697517
BL0105-C,ERZ1697518
BL0106-C,ERZ1697519
BL0107-C,ERZ1697520
BL0108-C,ERZ1697521
BL0109-C,ERZ1697522
BL0110-C,ERZ1697523
BL0111-C,ERZ1697524
BL0112-C,ERZ1697525
BL0113-C,ERZ1697526
BL0114-C,ERZ1697527
BL0115-C,ERZ1697528
BL0116-C,ERZ1697529
BL0117-C,ERZ1697530
BL0118-C,ERZ1697531
BL0119-C,ERZ1697532
BL0120-C,ERZ1697533
BL0121-C,ERZ1697534
BL0124-C,ERZ1697535
BL0125-C,ERZ1697536
BL0126-C,ERZ1697537
BL0127-C,ERZ1697538
BL0128-C,ERZ1697539
BL0129-C,ERZ1697540
BL0131-C,ERZ1697541
BL0133-C,ERZ1697542
BL0135-C,ERZ1697543
BL0136-C,ERZ1697544
BL0137-C,ERZ1697545
BL0138-C,ERZ1697546
BL0139-C,ERZ1697547
BL0140-C,ERZ1697548
BL0141-C,ERZ1697549
BL0142-C,ERZ1697550
BL0145-C,ERZ1697551
BL0146-C,ERZ1697552
BL0147-C,ERZ1697553
BL0148-C,ERZ1697554
BL0149-C,ERZ1697555
BL0150-C,ERZ1697556
BL0151-C,ERZ1697557
BL0152-C,ERZ1697558
BL0153-C,ERZ1697559
BL0154-C,ERZ1697560
BL0155-C,ERZ1697561
BL0156-C,ERZ1697562
BL0157-C,ERZ1697563
BL0158-C,ERZ1697564
BL0159-C,ERZ1697565
BL0161-C,ERZ1697566
BL0163-C,ERZ1697567
BL0164-C,ERZ1697568
BL0165-C,ERZ1697569
BL0166-C,ERZ1697570
BL0167-C,ERZ1697571
BL0168-C,ERZ1697572
BL0169-C,ERZ1697573
BL0170-C,ERZ1697574
BL0171-C,ERZ1697575
BL0172-C,ERZ1697576
BL0173-C,ERZ1697577
BL0176-C,ERZ1697578
BL0177-C,ERZ1697579
BL0178-C,ERZ1697580
BL0180-C,ERZ1697581
BL0182-C,ERZ1697582
BL0183-C,ERZ1697583
BL0184-C,ERZ1697584
BL0185-C,ERZ1697585
BL0186-C,ERZ1697586
BL0187-C,ERZ1697587
BL0189-C,ERZ1697588
BL0190-C,ERZ1697589
BL0192-C,ERZ1697590
BL0193-C,ERZ1697591
BL0194-C,ERZ1697592
BL0195-C,ERZ1697593
BL0196-C,ERZ1697594
BL0197-C,ERZ1697595
BL0198-C,ERZ1697596
BL0199-C,ERZ1697597
BL0200-C,ERZ1697598
BL0201-C,ERZ1697599
BL0202-C,ERZ1697600
BL0203-C,ERZ1697601
BL0204-C,ERZ1697602
BL0205-C,ERZ1697603
BL0207-C,ERZ1697604
BL0208-C,ERZ1697605
BL0209-C,ERZ1697606
BL0210-C,ERZ1697607
BL0211-C,ERZ1697608
BL0212-C,ERZ1697609
BL0213-C,ERZ1697610
BL0214-C,ERZ1697611
BL0215-C,ERZ1697612
BL0216-C,ERZ1697613
BL0217-C,ERZ1697614
BL0218-C,ERZ1697615
BL0221-C,ERZ1697616
BL0222-C,ERZ1697617
BL0223-C,ERZ1697618
BL0224-C,ERZ1697619
BL0225-C,ERZ1697620
BL0226-C,ERZ1697621
BL0227-C,ERZ1697622
BL0228-C,ERZ1697623
BL0229-C,ERZ1697624
BL0230-C,ERZ1697625
BL0231-C,ERZ1697626
BL0232-C,ERZ1697627
BL0233-C,ERZ1697628
BL0234-C,ERZ1697629
BL0235-C,ERZ1697630
BL0236-C,ERZ1697631
BL0238-C,ERZ1697632
BL0239-C,ERZ1697633
BL0240-C,ERZ1697634
BL0241-C,ERZ1697635
BL0242-C,ERZ1697636
BL0243-C,ERZ1697637
BL0244-C,ERZ1697638
BL0246-C,ERZ1697639
BL0247-C,ERZ1697640
BL0250-CW,ERZ1697641
BL0251-C,ERZ1697642
BL0252-C,ERZ1697643
BL0253-C,ERZ1697644
BL0254-C,ERZ1697645
BL0255-C,ERZ1697646
BL0256-C,ERZ1697647
BL0257-C,ERZ1697648
BL0258-C,ERZ1697649
BL0259-C,ERZ1697650
BL0260-C,ERZ1697651
BL0261-C,ERZ1697652
BL0263-C,ERZ1697653
BL0264-C,ERZ1697654
BL0266-C,ERZ1697655
BL0267-C,ERZ1697656
BL0269-C,ERZ1697657
BL0271-C,ERZ1697658
BL0272-C,ERZ1697659
BL0273-C,ERZ1697660
BL0275-C,ERZ1697661
BL0276-C,ERZ1697662
BL0277-C,ERZ1697663
BL0278-C,ERZ1697664
BL0280-C,ERZ1697665
BL0281-C,ERZ1697666
BL0282-C,ERZ1697667
BL0283-C,ERZ1697668
BL0284-C,ERZ1697669
BL0285-C,ERZ1697670
BL0286-C,ERZ1697671
BL0287-C,ERZ1697672
BL0288-C,ERZ1697673
BL0290-C,ERZ1697674
BL0291-C,ERZ1697675
BL0292-C,ERZ1697676
BL0293-C,ERZ1697677
BL0294-C,ERZ1697678
BL0296-C,ERZ1697679
BL0297-C,ERZ1697680
BL0298-C,ERZ1697681
BL0299-C,ERZ1697682
BL0300-C,ERZ1697683
BL0301-C,ERZ1697684
BL0302-C,ERZ1697685
BL0303-C,ERZ1697686
BL0304-C,ERZ1697687
BL0305-C,ERZ1697688
BL0306-C,ERZ1697689
BL0307-C,ERZ1697690
BL0308-C,ERZ1697691
BL0309-C,ERZ1697692
BL0310-C,ERZ1697693
BL0311-C,ERZ1697694
BL0312-C,ERZ1697695
BL0313-C,ERZ1697696
BL0314-C,ERZ1697697
BL0315-C,ERZ1697698
BL0316-C,ERZ1697699
BL0317-C,ERZ1697700
BL0318-C,ERZ1697701
BL0319-C,ERZ1697702
BL0320-C,ERZ1697703
BL0321-C,ERZ1697704
BL0322-C,ERZ1697705
BL0323-C,ERZ1697706
BL0324-C,ERZ1697707
BL0325-C,ERZ1697708
BL0326-C,ERZ1697709
BL0327-C,ERZ1697710
BL0328-C,ERZ1697711
BL0332-C,ERZ1697712
BL0333-C,ERZ1697713
BL0334-C,ERZ1697714
BL0335-C,ERZ1697715
BL0336-C,ERZ1697716
BL0337-C,ERZ1697717
BL0338-C,ERZ1697718
BL0339-C,ERZ1697719
BL0340-C,ERZ1697720
BL0341-C,ERZ1697721
BL0342-C,ERZ1697722
BL0343-C,ERZ1697723
BL0344-C,ERZ1697724
BL0345-C,ERZ1697725
BL0346-C,ERZ1697726
BL0347-C,ERZ1697727
BL0348-C,ERZ1697728
BL0350-C,ERZ1697729
BL0351-C,ERZ1697730
BL0352-C,ERZ1697731
BL0353-C,ERZ1697732
BL0354-C,ERZ1697733
BL0356-C,ERZ1697734
BL0357-C,ERZ1697735
BL0358-C,ERZ1697736
BL0359-C,ERZ1697737
BL0360-C,ERZ1697738
BL0361-C,ERZ1697739
BL0362-C,ERZ1697740
BL0363-C,ERZ1697741
BL0365-C,ERZ1697742
BL0366-C,ERZ1697743
BL0367-C,ERZ1697744
BL0368-C,ERZ1697745
BL0370-C,ERZ1697746
BL0371-C,ERZ1697747
BL0372-C,ERZ1697748
BL0373-C,ERZ1697749
BL0375-C,ERZ1697750
BL0376-C,ERZ1697751
BL0377-C,ERZ1697752
BL0378-C,ERZ1697753
BL0379-C,ERZ1697754
BL0380-C,ERZ1697755
BL0381-C,ERZ1697756
BL0382-C,ERZ1697757
BL0383-C,ERZ1697758
BL0384-C,ERZ1697759
BL0385-C,ERZ1697760
BL0386-C,ERZ1697761
BL0387-C,ERZ1697762
BL0388-C,ERZ1697763
BL0389-C,ERZ1697764
BL0391-C,ERZ1697765
BL0392-C,ERZ1697766
BL0393-C,ERZ1697767
BL0394-C,ERZ1697768
AC0007-C,ERZ1697769
AC0008-C,ERZ1697770
AC0009-Cx,ERZ1697771
AC0010-C,ERZ1697772
AC0011-C,ERZ1697773
AC0012-Cx,ERZ1697774
AC0013-Cx,ERZ1697775
AC0014-C,ERZ1697776
AC0015-C,ERZ1697777
AC0016-C,ERZ1697778
AC0017-C,ERZ1697779
AC0018-Cx,ERZ1697780
AC0019-C,ERZ1697781
AC0021-C,ERZ1697782
AC0022-C,ERZ1697783
AC0023-C,ERZ1697784
AC0024-Cx,ERZ1697785
AC0025-C,ERZ1697786
AC0026-C,ERZ1697787
AC0027-C,ERZ1697788
AC0028-C,ERZ1697789
AC0029-C,ERZ1697790
AC0030-C,ERZ1697791
AC0031-Cx,ERZ1697792
AC0032-C,ERZ1697793
AC0033-Cx,ERZ1697794
AC0034-C,ERZ1697795
AC0035-C,ERZ1697796
AC0036-C,ERZ1697797
AC0037-C,ERZ1697798
AC0038-Cx,ERZ1697799
AC0039-C,ERZ1697800
AC0040-C,ERZ1697801
AC0041-Cx,ERZ1697802
AC0042-C,ERZ1697803
AC0043-C,ERZ1697804
AC0044-Cx,ERZ1697805
AC0045-C,ERZ1697806
AC0046-C,ERZ1697807
AC0047-C,ERZ1697808
AC0048-Cx,ERZ1697809
AC0049-C,ERZ1697810
AC0050-Cx,ERZ1697811
AC0051-C,ERZ1697812
AC0052-Cx,ERZ1697813
AC0053-C,ERZ1697814
AC0054-C,ERZ1697815
AC0055-C,ERZ1697816
AC0056-C,ERZ1697817
AC0057-C,ERZ1697818
AC0058-C,ERZ1697819
AC0059-C,ERZ1697820
AC0060-C,ERZ1697821
AC0061-C,ERZ1697822
AC0062-C,ERZ1697823
AC0063-C,ERZ1697824
AC0064-C,ERZ1697825
AC0065-C,ERZ1697826
AC0066-C,ERZ1697827
AC0067-Cx,ERZ1697828
AC0068-C,ERZ1697829
AC0069-C,ERZ1697830
AC0070-C,ERZ1697831
AC0071-C,ERZ1697832
AC0072-C,ERZ1697833
AC0073-C,ERZ1697834
AC0074-C,ERZ1697835
AC0075-C,ERZ1697836
AC0076-C,ERZ1697837
AC0077-C,ERZ1697838
AC0078-C,ERZ1697839
AC0079-C,ERZ1697840
AC0080-Cx,ERZ1697841
AC0081-C,ERZ1697842
AC0082-C,ERZ1697843
AC0083-C,ERZ1697844
AC0084-C,ERZ1697845
AC0085-C,ERZ1697846
AC0086-C,ERZ1697847
AC0087-Cx,ERZ1697848
AC0088-C,ERZ1697849
AC0089-Cx,ERZ1697850
AC0090-C,ERZ1697851
AC0091-Cx,ERZ1697852
AC0092-C,ERZ1697853
AC0093-C,ERZ1697854
AC0094-C,ERZ1697855
AC0095-C,ERZ1697856
AC0096-Cx,ERZ1697857
AC0097-C,ERZ1697858
AC0098-C,ERZ1697859
AC0099-C,ERZ1697860
AC0100-C,ERZ1697861
AC0101-C,ERZ1697862
AC0102-Cx,ERZ1697863
AC0103-Cx,ERZ1697864
AC0104-Cx,ERZ1697865
AC0105-C,ERZ1697866
AC0106-C,ERZ1697867
AC0107-C,ERZ1697868
AC0108-C,ERZ1697869
AC0109-C,ERZ1697870
AC0110-Cx,ERZ1697871
AC0111-Cx,ERZ1697872
AC0112-C,ERZ1697873
AC0113-Cx,ERZ1697874
AC0114-C,ERZ1697875
AC0115-C,ERZ1697876
AC0116-C,ERZ1697877
AC0117-Cx,ERZ1697878
AC0118-C,ERZ1697879
AC0119-C,ERZ1697880
AC0120-C,ERZ1697881
AC0121-C,ERZ1697882
AC0122-C,ERZ1697883
AC0123-C,ERZ1697884
AC0124-C,ERZ1697885
AC0125-C,ERZ1697886
AC0126-Cx,ERZ1697887
AC0127-C,ERZ1697888
AC0128-Cx,ERZ1697889
AC0129-C,ERZ1697890
AC0130-C,ERZ1697891
AC0131-C,ERZ1697892
AC0132-C,ERZ1697893
AC0133-C,ERZ1697894
AC0134-Cx,ERZ1697895
AC0135-C,ERZ1697896
AC0136-C,ERZ1697897
AC0137-C,ERZ1697898
AC0138-Cx,ERZ1697899
AC0139-C,ERZ1697900
AC0140-C,ERZ1697901
AC0141-C,ERZ1697902
AC0142-C,ERZ1697903
AC0143-C,ERZ1697904
AC0144-Cx,ERZ1697905
AC0145-Cx,ERZ1697906
AC0146-C,ERZ1697907
AC0147-Cx,ERZ1697908
AC0148-C,ERZ1697909
AC0149-Cx,ERZ1697910
AC0150-C,ERZ1697911
AC0151-C,ERZ1697912
AC0152-C,ERZ1697913
AC0153-C,ERZ1697914
AC0154-C,ERZ1697915
AC0155-C,ERZ1697916
AC0156-C,ERZ1697917
AC0157-C,ERZ1697918
AC0158-C,ERZ1697919
AC0159-C,ERZ1697920
AC0160-C,ERZ1697921
AC0161-C,ERZ1697922
AC0162-Cx,ERZ1697923
AC0163-C,ERZ1697924
AC0164-C,ERZ1697925
AC0166-C,ERZ1697926
AC0167-C,ERZ1697927
AC0168-Cx,ERZ1697928
AC0169-C,ERZ1697929
AC0170-C,ERZ1697930
AC0171-C,ERZ1697931
AC0172-C,ERZ1697932
AC0173-C,ERZ1697933
AC0174-Cx,ERZ1697934
AC0176-Cx,ERZ1697935
AC0177-C,ERZ1697936
AC0178-C,ERZ1697937
AC0179-C,ERZ1697938
AC0180-C,ERZ1697939
AC0181-C,ERZ1697940
AC0182-C,ERZ1697941
AC0183-C,ERZ1697942
AC0184-C,ERZ1697943
AC0185-C,ERZ1697944
AC0186-C,ERZ1697945
AC0187-C,ERZ1697946
AC0188-C,ERZ1697947
AC0189-C,ERZ1697948
AC0190-C,ERZ1697949
AC0191-C,ERZ1697950
AC0192-C,ERZ1697951
AC0193-C,ERZ1697952
AC0194-C,ERZ1697953
AC0195-C,ERZ1697954
AC0196-C,ERZ1697955
AC0197-Cx,ERZ1697956
AC0198-C,ERZ1697957
AC0199-C,ERZ1697958
AC0200-C,ERZ1697959
AC0201-Cx,ERZ1697960
AC0202-Cx,ERZ1697961
AC0203-C,ERZ1697962
AC0204-C,ERZ1697963
AC0205-C,ERZ1697964
AC0206-C,ERZ1697965
AC0207-C,ERZ1697966
