sample_id,ena_analysis
BP0018-C,ERZ1695667
BP0019-C,ERZ1695668
BP0020-C,ERZ1695669
BP0021-C,ERZ1695670
BP0022-C,ERZ1695671
BP0023-C,ERZ1695672
BP0024-C,ERZ1695673
BP0025-C,ERZ1695674
BP0026-C,ERZ1695675
BP0027-C,ERZ1695676
BP0028-C,ERZ1695677
BP0029-C,ERZ1695678
BP0030-C,ERZ1695679
BP0031-C,ERZ1695680
BP0032-C,ERZ1695681
BP0033-C,ERZ1695682
BP0034-C,ERZ1695683
BP0035-C,ERZ1695684
BP0036-C,ERZ1695685
BP0037-C,ERZ1695686
BP0038-C,ERZ1695687
BP0039-C,ERZ1695688
BP0040-C,ERZ1695689
BP0041-C,ERZ1695690
BP0042-C,ERZ1695691
BP0043-C,ERZ1695692
BP0044-C,ERZ1695693
BP0045-C,ERZ1695694
BP0046-C,ERZ1695695
BP0047-C,ERZ1695696
BP0048-C,ERZ1695697
BP0049-C,ERZ1695698
BP0050-C,ERZ1695699
BP0051-C,ERZ1695700
BP0052-C,ERZ1695701
BP0053-C,ERZ1695702
BP0054-C,ERZ1695703
BP0055-C,ERZ1695704
BP0056-C,ERZ1695705
BP0057-C,ERZ1695706
BP0058-C,ERZ1695707
BP0059-C,ERZ1695708
BP0060-C,ERZ1695709
BP0061-C,ERZ1695710
BP0062-C,ERZ1695711
BP0064-C,ERZ1695712
BP0065-C,ERZ1695713
BP0066-C,ERZ1695714
BP0067-C,ERZ1695715
BP0069-C,ERZ1695716
BP0070-C,ERZ1695717
BP0071-C,ERZ1695718
BP0072-C,ERZ1695719
BP0074-C,ERZ1695720
BP0075-C,ERZ1695721
BP0076-C,ERZ1695722
BP0077-C,ERZ1695723
BP0078-C,ERZ1695724
BP0079-C,ERZ1695725
BP0080-C,ERZ1695726
BP0081-C,ERZ1695727
BK0001-C,ERZ1695728
BK0002-C,ERZ1695729
BK0003-C,ERZ1695730
BK0005-C,ERZ1695731
BK0006-C,ERZ1695732
BK0007-C,ERZ1695733
BK0008-C,ERZ1695734
BK0009-C,ERZ1695735
BK0010-C,ERZ1695736
BK0011-C,ERZ1695737
BK0013-C,ERZ1695738
BK0014-C,ERZ1695739
BK0015-C,ERZ1695740
BK0016-C,ERZ1695741
BK0017-C,ERZ1695742
BK0018-C,ERZ1695743
BK0019-C,ERZ1695744
BK0021-C,ERZ1695745
BK0022-C,ERZ1695746
BK0023-C,ERZ1695747
BK0024-C,ERZ1695748
BK0025-C,ERZ1695749
BK0026-C,ERZ1695750
BK0027-C,ERZ1695751
BK0029-C,ERZ1695752
BK0030-C,ERZ1695753
BK0031-C,ERZ1695754
BK0032-C,ERZ1695755
BK0033-C,ERZ1695756
BK0034-C,ERZ1695757
BK0035-C,ERZ1695758
BK0037-C,ERZ1695759
BK0038-C,ERZ1695760
BK0039-C,ERZ1695761
BK0040-C,ERZ1695762
BK0041-C,ERZ1695763
BK0042-C,ERZ1695764
BK0043-C,ERZ1695765
BK0045-C,ERZ1695766
BK0046-C,ERZ1695767
BK0047-C,ERZ1695768
BK0048-C,ERZ1695769
BK0049-C,ERZ1695770
BK0050-C,ERZ1695771
BK0051-C,ERZ1695772
BK0053-C,ERZ1695773
BK0054-C,ERZ1695774
BK0055-C,ERZ1695775
BK0056-C,ERZ1695776
BK0057-C,ERZ1695777
BK0058-C,ERZ1695778
BK0059-C,ERZ1695779
BK0061-C,ERZ1695780
BK0062-C,ERZ1695781
BK0063-C,ERZ1695782
BK0064-C,ERZ1695783
BK0065-C,ERZ1695784
BK0066-C,ERZ1695785
BK0067-C,ERZ1695786
BK0069-C,ERZ1695787
BK0070-C,ERZ1695788
BK0071-C,ERZ1695789
BK0072-C,ERZ1695790
BK0074-C,ERZ1695791
BK0077-C,ERZ1695792
BK0078-C,ERZ1695793
BK0080-C,ERZ1695794
BK0081-C,ERZ1695795
BK0082-C,ERZ1695796
BK0083-C,ERZ1695797
BK0085-C,ERZ1695798
BK0086-C,ERZ1695799
BK0094-CW,ERZ1695800
AY0006-C,ERZ1695801
AY0007-C,ERZ1695802
AY0010-C,ERZ1695803
AY0011-C,ERZ1695804
AY0012-C,ERZ1695805
AY0013-C,ERZ1695806
AY0014-C,ERZ1695807
AY0015-C,ERZ1695808
AY0016-C,ERZ1695809
AY0017-C,ERZ1695810
AY0018-C,ERZ1695811
AY0019-C,ERZ1695812
AY0020-C,ERZ1695813
AY0021-C,ERZ1695814
AY0023-C,ERZ1695815
AY0024-C,ERZ1695816
AY0025-C,ERZ1695817
AY0026-C,ERZ1695818
AY0027-C,ERZ1695819
AY0028-C,ERZ1695820
AY0029-C,ERZ1695821
AY0031-C,ERZ1695822
AY0032-C,ERZ1695823
AY0033-C,ERZ1695824
AY0034-C,ERZ1695825
AY0035-C,ERZ1695826
AY0036-C,ERZ1695827
AY0038-C,ERZ1695828
AY0039-C,ERZ1695829
AY0040-C,ERZ1695830
AY0041-C,ERZ1695831
AY0042-C,ERZ1695832
AY0043-C,ERZ1695833
AY0044-C,ERZ1695834
